"zone","state","lga","sector","ea","hhid","s9q29a","s9q29b","s9q29c","s9q30a","s9q30b","s9q30c"
6,13,1307,1,268,130025,71,72,73,,,
6,13,1307,1,0,130026,72,73,71,,,
6,13,1307,1,268,130027,72,73,74,,,
6,13,1307,1,268,130029,13,62,92,,,
6,13,1307,1,0,130030,,,,71,61,73
6,13,1303,1,626,130032,74,72,73,,,
6,13,1303,1,626,130033,,,,71,73,72
6,13,1303,1,626,130034,83,71,72,,,
6,13,1303,1,0,130035,72,71,73,,,
6,13,1303,1,626,130036,71,72,73,,,
6,13,1303,1,626,130038,72,74,73,,,
6,13,1303,1,626,130039,72,61,83,,,
6,13,1303,1,626,130040,,,,71,73,72
6,13,1305,1,1232,130041,71,72,73,,,
6,13,1305,1,1232,130042,81,83,72,,,
6,13,1305,1,1232,130043,71,83,72,,,
6,13,1305,1,0,130044,83,71,72,,,
6,13,1305,1,0,130045,71,73,74,,,
6,13,1305,1,1232,130046,72,71,73,,,
6,13,1305,1,1232,130048,72,71,73,,,
6,13,1305,1,1232,130049,83,71,31,,,
6,13,1305,1,1232,130050,72,73,74,,,
6,13,1309,2,674,130051,71,72,83,,,
6,13,1309,2,674,130052,83,61,62,,,
6,13,1309,2,0,130053,,,,81,72,73
6,13,1309,2,674,130054,,,,73,71,72
6,13,1309,2,674,130055,72,73,74,,,
6,13,1309,2,674,130056,,,,61,71,72
6,13,1309,2,674,130057,71,72,74,,,
6,13,1309,2,0,130059,73,71,72,,,
6,13,1309,2,674,130060,,,,71,73,81
6,13,1305,2,0,130061,71,72,73,,,
6,13,1305,2,10,130062,71,72,83,,,
6,13,1305,2,10,130063,74,73,72,,,
6,13,1305,2,10,130064,71,72,83,,,
6,13,1305,2,10,130065,72,73,71,,,
6,13,1305,2,10,130067,71,63,61,,,
6,13,1305,2,10,130068,71,73,81,,,
6,13,1305,2,10,130069,71,83,72,,,
6,13,1305,2,10,130070,72,73,71,,,
6,13,1301,1,1206,130071,83,82,61,,,
