"zone","state","lga","sector","ea","hhid","s9q29a","s9q29b","s9q29c","s9q30a","s9q30b","s9q30c"
2,2,215,1,8,20085,83,101,102,,,
2,2,215,1,8,20086,31,101,71,,,
2,2,215,1,8,20087,12,13,111,,,
2,2,215,1,8,20088,61,62,,,,
2,2,215,1,8,20089,61,81,91,,,
2,2,215,1,8,20090,61,91,81,,,
2,2,207,2,1302,20091,31,11,,,,
2,2,207,2,1302,20092,71,72,,,,
2,2,207,2,1302,20093,,,,11,31,61
2,2,207,2,1302,20094,,,,21,61,81
2,2,207,2,1302,20095,81,83,102,,,
2,2,207,2,1302,20096,,,,61,81,91
2,2,207,2,1302,20097,61,81,91,,,
2,2,207,2,1302,20098,,,,31,11,
2,2,207,2,1302,20099,,,,72,73,
2,2,207,2,1302,20100,91,92,93,,,
2,2,205,2,712,20101,,,,61,31,11
2,2,205,2,712,20102,,,,73,72,
2,2,205,2,712,20103,,,,61,21,31
2,2,205,2,712,20104,,,,81,82,83
2,2,205,2,712,20105,,,,71,72,
2,2,205,2,712,20106,132,72,,,,
2,2,205,2,712,20107,,,,81,82,83
2,2,205,2,712,20108,,,,71,73,
2,2,205,2,712,20110,31,11,,,,
2,2,218,2,1592,20111,,,,81,82,83
2,2,218,2,1592,20112,,,,81,82,83
2,2,218,2,1592,20113,,,,61,81,91
2,2,218,2,1592,20114,,,,73,71,72
2,2,218,2,1592,20115,,,,61,81,11
2,2,218,2,1592,20116,,,,61,81,
2,2,218,2,1592,20117,,,,61,81,92
2,2,218,2,1592,20118,,,,61,81,11
2,2,218,2,1592,20119,,,,81,71,73
2,2,218,2,1592,20120,,,,71,73,81
5,3,331,1,2322,30001,11,13,83,,,
5,3,331,1,2322,30002,72,92,123,,,
5,3,331,1,2322,30003,13,64,,,,
5,3,331,1,2322,30004,,,,71,72,73
5,3,331,1,2322,30005,,,,71,72,74
5,3,331,1,2322,30006,13,111,61,,,
5,3,331,1,2322,30007,12,13,82,,,
5,3,331,1,2322,30008,12,74,91,,,
5,3,331,1,2322,30009,13,64,82,,,
5,3,331,1,2322,30010,,,,72,93,132
5,3,331,1,516,30011,63,73,92,,,
5,3,331,1,516,30012,13,81,91,,,
5,3,331,1,516,30013,71,72,74,,,
5,3,331,1,516,30015,132,123,91,,,
5,3,331,1,516,30016,12,123,43,,,
5,3,331,1,516,30017,101,64,62,,,
5,3,331,1,516,30018,71,72,74,,,
5,3,331,1,516,30019,71,72,81,,,
5,3,331,1,516,30020,74,131,13,,,
5,3,316,2,874,30021,13,73,91,,,
5,3,316,2,874,30022,73,63,,,,
5,3,316,2,874,30023,71,72,,,,
5,3,316,2,874,30024,63,61,,,,
5,3,316,2,874,30025,63,71,,,,
5,3,316,2,874,30026,63,73,,,,
5,3,316,2,874,30027,,,,,,
5,3,316,2,874,30028,21,63,74,,,
5,3,316,2,0,30029,13,123,72,,,
5,3,316,2,874,30030,63,73,,,,
5,3,309,2,478,30031,61,81,,,,
5,3,309,2,478,30032,61,63,,,,
5,3,309,2,478,30033,62,63,81,,,
5,3,309,2,478,30034,71,72,73,,,
5,3,309,2,478,30035,,,,81,71,72
5,3,309,2,478,30036,62,63,61,,,
5,3,309,2,478,30037,62,72,32,,,
5,3,309,2,478,30038,42,92,122,,,
5,3,309,2,478,30039,92,63,74,,,
5,3,309,2,478,30040,73,75,122,,,
5,3,307,1,634,30041,72,83,71,,,
5,3,307,1,634,30042,83,92,63,,,
5,3,307,1,634,30043,83,61,63,,,
5,3,307,1,634,30044,63,83,72,,,
5,3,307,1,634,30045,,,,73,132,81
5,3,307,1,634,30046,62,63,82,,,
5,3,307,1,634,30047,,,,74,72,93
5,3,307,1,634,30048,63,83,132,,,
5,3,307,1,634,30049,12,82,91,,,
5,3,307,2,0,30050,,,,11,62,92
5,3,321,2,364,30051,123,75,92,,,
5,3,321,2,364,30052,,,,71,92,
5,3,321,2,364,30053,63,71,,,,
5,3,321,2,364,30054,63,71,61,,,
5,3,321,2,364,30055,63,114,11,,,
5,3,321,2,364,30056,61,82,91,,,
5,3,321,2,364,30057,83,74,13,,,
5,3,321,2,364,30058,71,64,92,,,
5,3,321,2,364,30059,72,63,132,,,
5,3,321,2,364,30060,13,74,82,,,
5,3,329,2,696,30061,62,63,,,,
5,3,329,2,696,30062,72,83,,,,
5,3,329,2,696,30063,12,72,92,,,
5,3,309,1,0,30064,72,13,91,,,
5,3,329,2,696,30065,71,91,12,,,
5,3,329,2,696,30066,74,91,132,,,
5,3,329,2,696,30067,,,,71,61,92
5,3,329,2,696,30069,63,73,,,,
5,3,329,2,696,30070,63,73,83,,,
5,3,323,2,580,30071,71,72,74,,,
5,3,323,2,580,30072,91,12,63,,,
5,3,323,2,580,30073,,,,72,13,111
5,3,323,2,580,30074,,,,92,75,74
5,3,323,2,580,30075,13,81,83,,,
5,3,323,2,580,30076,,,,71,72,
5,3,323,2,580,30077,72,12,91,,,
5,3,325,1,0,30078,63,72,132,,,
5,3,323,2,580,30079,72,73,61,,,
5,3,323,2,580,30080,61,71,,,,
5,3,318,2,1136,30081,92,64,63,,,
5,3,331,1,0,30082,,,,101,132,92
5,3,318,2,1136,30084,71,63,72,,,
5,3,318,2,1136,30085,63,91,,,,
5,3,318,2,1136,30086,61,63,132,,,
5,3,318,2,1136,30087,63,71,72,,,
5,3,318,2,1136,30088,61,62,92,,,
5,3,318,2,0,30089,72,91,63,,,
5,3,318,2,1136,30090,13,71,72,,,
5,3,313,2,70,30091,92,63,71,,,
5,3,331,1,0,30092,64,131,,,,
5,3,313,2,70,30093,,,,92,74,73
5,3,313,2,70,30094,132,64,12,,,
5,3,313,2,0,30095,123,61,131,,,
5,3,313,2,70,30096,91,131,12,,,
5,3,313,2,70,30097,92,72,13,,,
5,3,313,2,70,30098,83,64,63,,,
5,3,313,2,70,30099,,,,71,72,
5,3,313,2,70,30100,63,81,92,,,
5,3,301,1,1198,30101,92,74,63,,,
5,3,301,1,0,30102,,,,101,102,75
5,3,301,1,1198,30103,12,73,91,,,
5,3,301,1,1198,30104,63,71,81,,,
5,3,301,1,1198,30105,71,63,92,,,
5,3,301,1,1198,30106,71,82,122,,,
5,3,301,1,1198,30107,63,71,72,,,
5,3,301,1,1198,30108,,,,,,
5,3,301,1,1198,30109,,,,71,83,123
5,3,301,1,1198,30110,101,112,131,,,
5,3,326,2,74,30111,,,,72,114,64
5,3,326,2,74,30112,72,64,83,,,
5,3,326,2,74,30113,71,61,75,,,
5,3,326,2,74,30115,71,63,92,,,
5,3,326,2,74,30116,,,,83,92,63
5,3,326,2,74,30117,63,71,81,,,
5,3,326,2,74,30118,63,92,71,,,
5,3,326,2,74,30119,63,71,72,,,
5,3,326,2,74,30120,,,,,,
5,3,305,2,1542,30121,72,63,,,,
5,3,305,2,1542,30122,63,72,,,,
5,3,305,2,1542,30123,71,72,63,,,
5,3,305,2,1542,30124,12,63,72,,,
5,3,305,2,1542,30125,63,71,72,,,
5,3,305,2,1542,30126,72,64,32,,,
5,3,305,2,1542,30127,62,63,81,,,
5,3,305,2,1542,30128,72,71,73,,,
5,3,305,2,1542,30129,13,12,63,,,
5,3,305,2,1542,30130,62,61,63,,,
5,3,312,2,20,30131,12,72,111,,,
5,3,312,2,20,30132,131,13,62,,,
5,3,312,2,20,30133,92,74,75,,,
5,3,312,2,20,30134,92,71,,,,
5,3,312,2,20,30135,71,72,73,,,
5,3,312,2,20,30137,,,,101,102,72
5,3,312,2,20,30138,72,62,63,,,
5,3,312,2,20,30139,,,,71,72,63
5,3,312,2,20,30140,61,63,,,,
5,3,305,2,4,30141,,,,74,132,111
5,3,305,2,4,30142,63,71,,,,
5,3,305,2,4,30143,,,,21,73,132
5,3,314,1,0,30145,71,72,73,,,
5,3,305,2,4,30146,12,72,131,,,
5,3,305,2,4,30147,63,72,,,,
5,3,305,2,4,30148,92,71,72,,,
5,3,305,2,4,30149,71,92,61,,,
4,4,418,1,44,40001,61,72,73,,,
4,4,418,1,44,40002,72,71,,,,
4,4,418,1,44,40003,,,,71,72,73
4,4,418,1,44,40005,71,72,73,,,
4,4,418,1,44,40006,72,73,81,,,
4,4,418,1,0,40007,63,64,61,,,
4,4,418,1,0,40008,71,63,,,,
4,4,418,1,44,40009,71,61,72,,,
4,4,418,1,44,40010,12,33,73,,,
4,4,417,1,678,40011,71,63,72,,,
4,4,417,1,678,40012,92,72,74,,,
4,4,417,1,678,40013,62,72,101,,,
4,4,417,1,678,40015,61,62,63,,,
4,4,417,1,678,40016,,,,73,92,12
4,4,417,1,678,40017,12,13,63,,,
4,4,417,1,678,40018,11,75,,,,
4,4,417,1,678,40019,,,,,,
4,4,417,1,678,40020,83,72,61,,,
4,4,416,1,0,40021,61,62,63,,,
4,4,416,1,616,40022,61,71,72,,,
4,4,416,1,616,40023,71,72,81,,,
4,4,416,1,0,40025,13,63,71,,,
4,4,416,1,616,40026,72,73,83,,,
4,4,416,1,616,40027,71,,,,,
4,4,416,1,616,40028,72,,,,,
4,11,1102,2,0,40029,,,,,,
4,4,416,1,616,40030,61,63,73,,,
4,4,414,1,2176,40032,73,72,,,,
4,4,414,1,2176,40033,71,72,73,,,
4,4,414,1,2176,40034,71,72,73,,,
4,4,414,1,2176,40036,72,61,,,,
4,4,414,1,2176,40037,61,63,71,,,
4,4,414,1,2176,40039,,,,71,73,63
4,4,414,1,2176,40040,13,12,33,,,
4,4,415,1,2108,40041,71,72,73,,,
4,4,415,1,2108,40042,,,,71,72,74
4,4,415,1,2108,40043,,,,71,72,73
4,4,415,1,0,40044,72,73,92,,,
4,4,415,1,2108,40045,71,72,73,,,
4,4,415,1,2108,40046,,,,72,74,91
4,4,415,1,2108,40047,,,,63,71,73
4,4,415,1,2108,40048,63,11,33,,,
4,4,415,1,2108,40049,,,,72,74,91
4,4,413,2,1540,40052,,,,,,
4,4,413,2,1540,40053,,,,,,
4,4,413,2,1540,40054,93,72,,,,
4,4,413,2,1540,40055,61,71,73,,,
4,4,413,2,1540,40056,13,23,71,,,
4,4,413,2,0,40057,31,62,132,,,
4,4,413,2,1540,40058,75,111,132,,,
4,4,413,2,1540,40059,81,82,83,,,
4,4,413,2,1540,40060,74,93,123,,,
4,4,405,2,722,40062,23,63,13,,,
4,4,405,2,722,40063,13,23,33,,,
4,4,405,2,722,40064,,,,71,72,73
4,4,405,2,722,40065,,,,71,72,75
4,4,405,2,722,40066,,,,73,,
4,4,405,2,722,40067,,,,73,74,75
4,4,405,2,0,40068,71,72,,,,
4,4,405,2,722,40069,73,83,74,,,
4,4,405,2,722,40070,83,71,,,,
4,4,405,2,484,40071,11,61,71,,,
4,4,405,2,484,40072,71,72,73,,,
4,4,405,2,484,40073,,,,71,72,73
4,4,405,2,484,40074,71,72,,,,
4,4,405,2,484,40075,,,,11,12,13
4,4,405,2,484,40076,,,,75,111,132
4,4,405,2,484,40077,,,,72,75,83
4,4,405,2,484,40078,73,74,75,,,
4,4,405,2,484,40079,71,72,,,,
4,4,405,2,484,40080,71,72,,,,
4,4,419,2,296,40081,71,72,73,,,
4,4,419,2,296,40082,32,62,63,,,
4,4,419,2,296,40083,83,72,,,,
4,4,419,2,296,40084,71,72,83,,,
4,4,419,2,296,40085,,,,72,73,75
4,4,419,2,296,40086,61,132,,,,
4,4,419,2,296,40088,23,71,74,,,
4,4,419,2,296,40089,71,72,74,,,
4,4,419,2,296,40090,,,,71,72,73
4,4,401,1,1460,40092,64,71,82,,,
4,4,401,1,1460,40093,71,72,93,,,
4,4,401,1,1460,40094,71,72,73,,,
4,4,401,1,1460,40095,,,,72,11,
4,4,401,1,1460,40096,71,72,73,,,
4,4,401,1,1460,40097,81,62,23,,,
4,4,401,1,1460,40098,83,72,,,,
4,4,401,1,1460,40099,,,,111,,
4,4,401,1,1460,40100,73,75,132,,,
4,4,412,2,2592,40101,,,,63,71,81
4,4,412,2,2592,40102,63,81,64,,,
4,4,412,2,2592,40103,63,64,81,,,
4,4,412,2,2592,40104,71,72,,,,
4,4,412,2,2592,40105,73,72,,,,
4,4,412,2,2592,40106,72,92,,,,
4,4,412,2,2592,40107,71,72,73,,,
4,4,412,2,2592,40108,71,72,73,,,
4,4,412,2,2592,40109,13,61,64,,,
4,4,412,2,2592,40110,92,72,73,,,
4,4,412,2,1606,40111,,,,63,64,71
4,4,412,2,1606,40112,63,73,81,,,
4,4,412,2,1606,40113,83,91,,,,
4,4,412,2,1606,40114,72,73,,,,
4,4,412,2,1606,40115,71,72,73,,,
4,4,412,2,1606,40116,71,72,73,,,
4,4,412,2,1606,40117,,,,71,72,73
4,4,412,2,1606,40118,,,,92,72,73
4,4,412,2,1606,40119,92,72,73,,,
4,4,412,2,1606,40120,,,,72,73,92
4,4,410,2,4036,40121,62,13,12,,,
4,4,410,2,4036,40122,31,63,71,,,
4,4,410,2,4036,40123,71,72,73,,,
4,4,410,2,4036,40124,71,72,73,,,
4,4,410,2,4036,40125,,,,111,81,63
4,4,410,2,4036,40126,63,11,13,,,
4,4,410,2,4036,40128,71,72,92,,,
4,4,410,2,4036,40129,71,72,,,,
4,4,410,2,4036,40130,71,72,,,,
4,4,407,2,796,40131,,,,72,73,74
4,4,407,2,796,40133,,,,,,
4,4,407,2,796,40134,,,,72,73,61
4,4,407,2,796,40135,11,61,73,,,
4,4,407,2,796,40136,61,82,93,,,
4,4,407,2,796,40137,,,,72,73,
4,4,407,2,796,40138,83,71,,,,
4,4,407,2,0,40139,92,72,83,,,
4,4,407,2,796,40140,72,83,,,,
4,4,410,1,3192,40141,72,83,,,,
4,4,410,1,3192,40142,72,131,,,,
4,4,410,1,3192,40143,23,62,75,,,
4,4,410,1,3192,40144,,,,73,75,
4,4,410,1,0,40145,75,81,132,,,
4,4,410,1,3192,40146,61,62,132,,,
4,4,410,1,3192,40147,71,72,73,,,
4,4,410,1,3192,40148,,,,,,
4,4,410,1,3192,40149,71,72,73,,,
4,4,406,1,0,40150,71,72,73,,,
4,4,410,1,3414,40151,83,71,,,,
4,4,410,1,3414,40152,,,,,,
4,4,410,1,3414,40153,71,72,73,,,
4,4,410,1,3414,40154,,,,71,72,
4,4,410,1,0,40155,,,,,,
4,4,410,1,3414,40156,63,83,91,,,
4,4,410,1,3414,40157,,,,,,
4,4,410,1,3414,40158,91,92,93,,,
4,4,410,1,3414,40159,83,72,,,,
4,4,410,1,3414,40160,,,,,,
4,4,401,1,738,40161,131,72,,,,
4,4,401,1,738,40162,12,72,131,,,
4,4,401,1,738,40163,72,131,,,,
4,4,401,1,738,40164,91,92,93,,,
5,9,908,1,0,40165,62,92,131,,,
4,4,401,1,738,40166,,,,,,
4,4,401,1,738,40167,74,75,123,,,
4,4,401,1,738,40168,82,83,72,,,
4,4,401,1,738,40169,71,72,73,,,
4,4,401,1,738,40170,,,,73,74,75
4,4,421,1,800,40171,72,111,121,,,
4,4,421,1,800,40172,72,73,74,,,
4,4,421,1,0,40173,73,75,132,,,
4,4,421,1,800,40174,61,62,63,,,
4,4,421,1,800,40175,71,74,75,,,
4,4,421,1,0,40176,72,73,,,,
4,4,421,1,800,40177,73,12,,,,
4,4,421,1,800,40178,73,91,83,,,
4,4,421,1,800,40180,,,,,,
4,4,411,1,1486,40181,71,91,92,,,
4,4,411,1,1486,40182,91,92,74,,,
4,4,411,1,1486,40183,13,62,72,,,
4,4,411,1,1486,40184,,,,71,72,73
4,4,411,1,1486,40185,,,,71,72,73
4,4,411,1,1486,40186,71,72,81,,,
4,4,411,1,1486,40187,,,,73,72,63
4,4,411,1,1486,40188,,,,71,81,111
4,4,411,1,1486,40189,71,72,,,,
4,4,411,1,1486,40190,63,71,,,,
4,4,401,2,2106,40191,31,75,132,,,
4,4,401,2,2106,40192,71,83,,,,
4,4,401,2,2106,40193,72,73,,,,
4,4,401,2,2106,40194,11,12,91,,,
4,4,401,2,2106,40195,12,71,72,,,
4,4,401,2,2106,40196,,,,73,83,
4,4,401,2,2106,40197,,,,121,,
4,4,401,2,2106,40198,71,72,73,,,
4,4,401,2,2106,40199,,,,71,72,
4,4,401,2,2106,40200,71,73,74,,,
4,4,402,2,1080,40201,71,72,73,,,
4,4,402,2,1080,40202,71,72,,,,
4,4,402,2,1080,40203,71,72,73,,,
4,4,402,2,1080,40204,,,,92,71,
4,4,402,2,1080,40206,71,72,73,,,
4,4,402,2,1080,40207,71,72,73,,,
4,4,402,2,1080,40208,92,72,73,,,
4,4,402,2,1080,40209,,,,63,111,114
4,4,402,2,1080,40210,73,81,63,,,
4,4,403,2,836,40211,63,64,81,,,
4,4,403,2,836,40212,,,,71,73,81
4,4,403,2,836,40213,,,,71,72,
4,4,403,2,836,40214,,,,72,73,92
4,4,403,2,836,40215,,,,72,73,92
4,4,403,2,836,40216,12,21,63,,,
4,4,403,2,836,40218,71,72,73,,,
4,4,403,2,836,40220,71,72,73,,,
2,5,506,2,830,50001,,,,,,
2,5,506,2,830,50002,,,,,,
2,5,506,2,830,50003,,,,,,
2,5,506,2,830,50004,61,62,81,,,
2,5,506,2,830,50005,,,,,,
2,5,506,2,830,50006,61,62,11,,,
2,5,506,2,830,50007,,,,,,
2,5,506,2,830,50008,81,83,,,,
2,5,506,2,830,50009,12,11,62,,,
2,5,506,2,830,50010,,,,,,
2,5,502,1,2194,50011,74,92,113,,,
2,5,502,1,2194,50012,91,111,73,,,
2,5,502,1,2194,50013,111,71,,,,
2,5,502,1,2194,50014,71,72,83,,,
2,5,502,1,2194,50015,,,,,,
2,5,502,1,2194,50016,12,61,81,,,
2,5,502,1,2194,50017,12,13,81,,,
2,5,502,1,2194,50018,81,12,61,,,
2,5,502,1,2194,50019,61,62,81,,,
2,5,502,1,2194,50020,111,71,81,,,
2,5,515,2,18,50021,63,61,81,,,
2,5,515,2,18,50022,61,62,71,,,
2,5,515,2,18,50023,61,101,62,,,
2,5,515,2,18,50024,62,101,61,,,
2,5,515,2,18,50025,61,63,81,,,
2,5,515,2,18,50026,61,62,63,,,
2,5,515,2,18,50027,62,101,61,,,
2,5,515,2,18,50028,61,63,81,,,
2,5,515,2,18,50029,61,63,81,,,
2,5,515,2,18,50030,61,62,71,,,
2,5,502,2,3878,50031,11,61,71,,,
2,5,502,2,3878,50032,81,61,71,,,
2,5,502,2,3878,50033,11,61,91,,,
2,5,502,2,3878,50034,11,61,81,,,
2,5,502,2,3878,50035,71,81,61,,,
2,5,502,2,3878,50036,11,62,72,,,
2,5,502,2,0,50037,,,,,,
2,5,502,2,3878,50038,81,111,,,,
2,5,502,2,3878,50039,21,61,71,,,
2,5,502,2,3878,50040,11,31,91,,,
2,5,504,2,708,50041,71,72,73,,,
2,5,504,2,708,50042,81,83,61,,,
2,5,504,2,708,50043,11,62,83,,,
2,5,504,2,708,50044,62,11,83,,,
2,5,504,2,708,50045,61,81,83,,,
2,5,504,2,708,50046,61,62,63,,,
2,5,504,2,708,50047,62,11,83,,,
2,5,504,2,708,50048,81,83,61,,,
2,5,504,2,708,50049,61,62,71,,,
2,5,504,2,708,50050,11,62,83,,,
2,5,513,2,348,50051,61,81,91,,,
2,5,513,2,348,50052,81,11,62,,,
2,5,513,2,348,50053,81,11,62,,,
2,5,513,2,348,50054,61,81,11,,,
2,5,513,2,348,50055,81,71,61,,,
2,5,513,2,348,50056,63,81,71,,,
2,5,513,2,348,50057,61,71,81,,,
2,5,513,2,348,50058,71,81,83,,,
2,5,513,2,348,50059,111,,,,,
2,5,513,2,348,50060,71,111,,,,
2,5,514,2,710,50061,61,62,71,,,
2,5,514,2,710,50062,62,11,83,,,
2,5,514,2,710,50063,61,81,83,,,
2,5,514,2,710,50064,71,72,61,,,
2,5,514,2,710,50065,62,11,83,,,
2,5,514,2,710,50066,71,72,73,,,
2,5,514,2,710,50067,61,81,,,,
2,5,514,2,710,50068,61,81,83,,,
2,5,514,2,710,50069,61,81,83,,,
2,5,514,2,710,50070,62,83,,,,
2,5,501,2,60,50071,81,62,,,,
2,5,501,2,60,50072,81,12,62,,,
2,5,501,2,60,50073,83,91,81,,,
2,5,501,2,60,50074,71,111,,,,
2,5,501,2,60,50075,81,111,,,,
2,5,501,2,60,50076,81,,,,,
2,5,501,2,60,50077,81,62,11,,,
2,5,501,2,60,50078,81,71,,,,
2,5,501,2,60,50079,71,72,83,,,
2,5,501,2,60,50080,71,72,83,,,
2,5,516,2,942,50081,81,61,83,,,
2,5,516,2,942,50082,11,83,,,,
2,5,516,2,942,50083,11,83,,,,
2,5,516,2,942,50084,71,72,73,,,
2,5,516,2,942,50085,61,83,81,,,
2,5,516,2,942,50086,11,83,,,,
2,5,516,2,942,50087,61,62,71,,,
2,5,516,2,942,50088,81,83,61,,,
2,5,516,2,942,50089,11,83,,,,
2,5,516,2,942,50090,61,62,63,,,
2,5,508,2,984,50091,31,11,61,,,
2,5,508,2,984,50092,83,11,81,,,
2,5,508,2,984,50093,111,81,,,,
2,5,508,2,984,50094,81,111,61,,,
2,5,508,2,984,50095,31,61,71,,,
2,5,508,2,984,50096,,,,71,72,73
2,5,508,2,984,50097,61,11,81,,,
2,5,508,2,984,50098,61,11,71,,,
2,5,508,2,984,50099,61,81,11,,,
2,5,508,2,984,50100,81,61,11,,,
2,5,514,1,2036,50101,31,83,,,,
2,5,514,1,2036,50102,31,101,,,,
2,5,514,1,2036,50103,81,83,,,,
2,5,514,1,2036,50104,61,62,71,,,
2,5,514,1,2036,50105,,,,71,72,73
2,5,514,1,2036,50106,71,72,73,,,
2,5,514,1,2036,50107,31,63,,,,
2,5,514,1,2036,50109,82,81,,,,
2,5,514,1,2036,50110,61,81,83,,,
2,5,508,2,718,50112,81,71,111,,,
2,5,508,2,718,50113,81,61,12,,,
2,5,508,2,718,50114,81,61,,,,
2,5,508,2,718,50115,,,,,,
2,5,508,2,718,50116,12,62,81,,,
2,5,508,2,718,50117,81,62,12,,,
2,5,508,2,718,50118,41,75,12,,,
2,34,3410,2,0,50119,101,111,,,,
2,5,508,2,718,50120,71,83,111,,,
2,5,510,1,872,50121,,,,71,83,
2,5,510,1,872,50122,,,,83,,
2,5,510,1,872,50123,,,,83,,
2,5,510,1,872,50124,71,72,73,,,
2,5,510,1,872,50125,81,83,,,,
2,5,510,1,872,50126,83,,,,,
2,5,510,1,872,50127,83,,,,,
2,5,510,1,872,50128,64,83,,,,
2,5,510,1,872,50129,81,83,,,,
2,5,510,1,872,50130,,,,83,101,
2,5,518,2,1588,50131,61,71,81,,,
2,5,518,2,1588,50132,11,31,71,,,
2,5,518,2,1588,50133,111,81,71,,,
2,5,518,2,1588,50134,21,31,81,,,
2,5,518,2,1588,50135,61,71,81,,,
2,5,518,2,1588,50136,11,61,71,,,
2,5,518,2,1588,50137,21,61,81,,,
2,5,518,2,1588,50138,11,81,61,,,
2,5,518,2,1588,50139,61,81,11,,,
1,31,3105,1,0,50140,62,92,102,,,
2,5,510,2,1516,50141,61,71,62,,,
2,5,510,2,1516,50142,61,62,71,,,
2,5,510,2,1516,50143,81,83,61,,,
2,5,510,2,1516,50144,11,62,83,,,
2,5,510,2,1516,50145,61,62,71,,,
2,5,510,2,1516,50146,61,81,83,,,
2,5,510,2,1516,50147,11,62,,,,
2,5,510,2,1516,50148,61,81,83,,,
2,5,510,2,1516,50149,11,62,,,,
2,5,510,2,1516,50150,11,62,83,,,
2,5,518,2,1304,50151,61,71,81,,,
2,5,518,2,1304,50152,61,71,111,,,
2,5,518,2,1304,50153,61,11,72,,,
2,5,518,2,1304,50154,101,71,61,,,
2,5,518,2,1304,50155,61,81,111,,,
2,5,518,2,1304,50156,11,61,92,,,
2,5,518,2,1304,50157,11,61,71,,,
2,5,518,2,1304,50158,11,61,81,,,
2,5,518,2,1304,50159,61,72,81,,,
2,5,518,2,1304,50160,62,72,83,,,
2,5,520,2,1756,50161,81,83,61,,,
2,5,520,2,1756,50162,61,62,63,,,
2,5,520,2,1756,50163,11,62,83,,,
2,5,520,2,1756,50164,61,81,83,,,
2,5,520,2,1756,50165,11,62,83,,,
2,5,520,2,1756,50166,61,83,81,,,
2,5,520,2,1756,50167,11,62,83,,,
2,5,520,2,1756,50168,,,,11,62,
2,5,520,2,1756,50169,71,72,73,,,
2,5,520,2,1756,50170,61,62,63,,,
5,6,602,2,0,60001,64,92,111,,,
5,6,602,2,1356,60002,31,61,81,,,
5,6,602,2,0,60004,31,61,81,,,
5,6,602,2,1356,60005,63,83,92,,,
5,6,602,2,0,60006,33,64,92,,,
5,6,602,2,1356,60008,64,81,92,,,
5,6,602,2,1356,60009,64,82,92,,,
5,6,602,2,1356,60010,81,61,72,,,
5,6,606,2,1372,60012,72,11,,,,
5,6,606,2,1372,60014,11,61,101,,,
5,6,606,2,1372,60015,72,11,,,,
5,6,606,2,1372,60016,11,21,61,,,
5,6,607,2,0,60017,,,,11,82,92
5,6,606,2,1372,60020,61,81,91,,,
5,6,608,1,3978,60021,32,64,83,,,
5,6,608,1,3978,60022,11,31,61,,,
5,6,608,1,3978,60023,64,82,92,,,
5,6,606,2,0,60024,11,61,72,,,
5,6,608,1,3978,60026,64,83,93,,,
5,6,608,1,3978,60027,61,82,92,,,
5,6,608,1,3978,60028,81,11,61,,,
5,6,608,1,3978,60029,11,31,61,,,
5,6,608,1,3978,60030,62,83,92,,,
5,6,607,2,1892,60031,11,61,81,,,
5,6,608,1,0,60032,92,111,121,,,
5,6,608,1,0,60033,12,83,72,,,
5,6,607,2,1892,60034,61,11,31,,,
5,6,607,2,1892,60035,11,33,81,,,
5,6,607,2,1892,60037,11,61,,,,
5,6,607,2,1892,60038,33,63,83,,,
5,6,607,2,1892,60039,81,72,61,,,
5,6,607,2,1892,60040,33,72,92,,,
5,6,601,2,640,60041,11,61,83,,,
5,6,601,2,640,60042,61,82,92,,,
5,6,601,2,640,60043,11,61,101,,,
5,6,601,2,640,60044,61,81,114,,,
5,6,601,2,640,60045,61,82,92,,,
5,6,601,2,0,60046,,,,72,75,101
5,6,601,2,640,60047,61,72,,,,
5,6,601,2,640,60048,12,61,81,,,
5,6,601,2,640,60049,61,81,72,,,
5,6,601,2,640,60050,81,61,,,,
5,6,605,2,162,60051,11,93,132,,,
5,6,605,2,162,60052,91,101,,,,
5,3,318,2,0,60053,11,63,72,,,
5,3,313,2,0,60054,71,63,92,,,
5,6,605,2,162,60055,12,83,92,,,
5,6,605,2,0,60056,,,,11,72,63
5,6,605,2,0,60057,,,,11,61,82
5,6,605,2,0,60058,33,63,83,,,
5,6,605,2,162,60059,,,,64,92,
5,6,608,1,0,60060,,,,91,101,131
5,6,608,2,748,60061,12,72,83,,,
5,6,608,2,748,60062,63,81,92,,,
5,6,608,2,748,60063,72,12,32,,,
5,6,608,2,748,60064,64,83,92,,,
5,6,608,2,748,60066,64,83,101,,,
5,6,608,2,0,60067,83,12,72,,,
5,6,608,2,0,60068,11,72,83,,,
5,6,608,2,748,60069,12,64,83,,,
1,22,2212,1,0,60070,,,,,,
1,7,707,2,560,70001,,,,71,72,
1,7,707,2,560,70002,,,,71,72,73
1,7,707,2,560,70003,,,,72,62,63
1,7,707,2,0,70005,,,,91,92,41
1,7,707,2,560,70006,,,,71,72,75
1,7,707,2,560,70007,,,,71,72,73
1,7,707,2,560,70008,,,,62,61,63
1,7,707,2,560,70009,,,,71,72,74
1,7,707,2,560,70010,,,,71,72,73
1,7,708,2,754,70011,,,,71,72,63
1,7,708,2,754,70012,,,,71,72,75
1,7,708,2,754,70013,,,,111,43,
1,7,708,2,0,70014,,,,71,72,73
1,7,708,2,754,70015,,,,71,72,
1,7,708,2,754,70016,,,,71,72,
1,7,708,2,754,70017,72,83,63,,,
1,7,708,2,754,70018,62,63,71,,,
1,7,708,2,754,70019,63,71,81,,,
1,7,708,2,754,70020,,,,71,,
1,7,705,2,4186,70021,,,,71,72,74
1,7,705,2,4186,70022,,,,81,82,
