"hhid","zone","state","lga","sector","ea","ric","wt_wave2","wt_combined","qno","qno1","saq7","ag1","ag2","ag3","saq11","saq12","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22a","saq22b","tracked_obs"
10073,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,2,6,1,1,1,2,1,8,10,2012,9,50,12,55,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10074,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,2,1,1,1,1,2,1,9,10,2012,9,45,13,6,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10075,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,2,15,1,1,1,4,1,8,10,2012,10,46,13,48,3,,9,10,2012,10,30,12,15,2,2,,,,,,,,,,1,1,0
10076,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,2,9,1,1,1,4,1,8,10,2012,14,12,17,20,3,,9,10,2012,13,15,15,45,2,2,,,,,,,,,,1,1,0
10077,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,2,7,2,1,1,4,1,8,10,2012,12,35,15,45,3,,9,10,2012,15,0,18,10,2,2,,,,,,,,,,1,1,0
10078,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,2,2,1,1,1,2,1,8,10,2012,13,5,16,45,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10079,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,2,8,1,2,1,3,1,22,10,2012,9,5,12,12,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10080,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,2,10,1,1,1,3,1,9,10,2012,10,0,15,10,3,,10,10,2012,10,30,14,30,,,,,,,,,,,,1,1,0
10081,4,1,110,2,76,1106,8310.17306348169,8310.17306348169,1,2,19,1,1,1,4,1,11,10,2012,11,20,14,45,3,,12,10,2012,11,25,14,50,2,2,,,,,,,,,,1,1,0
10082,4,1,110,2,76,1106,8310.17306348169,8310.17306348169,1,2,1,1,1,1,4,1,11,10,2012,11,30,14,10,3,,12,10,2012,11,45,13,5,2,2,,,,,,,,,,1,1,0
10083,4,1,110,1,0,0,8310.17306348169,8310.17306348169,1,,,1,2,1,2,1,28,6,2013,10,30,13,25,,1,,,,,,,,,,,,,,,,,,,1,1,1
10084,4,1,110,2,76,1106,8310.17306348169,8310.17306348169,1,2,25,1,1,1,2,1,11,10,2012,13,44,17,5,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10085,4,1,110,2,76,1106,8310.17306348169,8310.17306348169,1,1,7,2,2,2,2,1,11,10,2012,10,35,13,40,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10086,4,1,110,2,76,1106,8310.17306348169,8310.17306348169,1,2,16,1,2,1,3,1,11,10,2012,15,5,17,10,3,,12,10,2012,15,20,17,0,2,2,,,,,,,,,,1,1,0
10087,4,1,110,2,76,1106,8310.17306348169,8310.17306348169,1,2,40,1,2,1,3,1,11,10,2012,9,5,11,30,3,,12,10,2012,12,20,15,10,2,2,,,,,,,,,,1,1,0
10088,4,1,110,2,76,1106,8310.17306348169,8310.17306348169,1,2,10,1,2,1,3,1,11,10,2012,11,39,14,50,3,,12,10,2012,9,0,12,7,2,2,,,,,,,,,,1,1,0
10089,4,1,110,2,76,1106,8310.17306348169,8310.17306348169,1,2,13,1,1,1,4,1,12,10,2012,10,30,14,30,3,,12,10,2012,14,35,17,30,2,2,,,,,,,,,,1,1,0
10090,4,1,110,2,76,1106,,,1,1,28,2,2,2,4,1,11,10,2012,11,20,11,48,2,2,,,,,,,,,,,,,,,,,,,7,1,0
10091,4,1,105,2,638,1507,5666.02708873751,5666.02708873751,1,2,18,1,1,1,2,1,25,9,2012,9,20,13,20,3,,26,9,2012,10,10,13,10,2,2,,,,,,,,,,1,1,0
10092,4,1,105,2,638,1507,5666.02708873751,5666.02708873751,1,2,11,1,1,1,3,1,25,9,2012,8,30,11,40,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10093,4,1,105,2,638,1507,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0
10094,4,1,105,2,638,1507,5666.02708873751,5666.02708873751,1,2,7,1,2,1,3,1,25,9,2012,12,15,15,28,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10095,4,1,105,2,638,1507,,,1,1,13,2,2,2,4,1,8,10,2012,10,30,10,56,,,,,,,,,,,,,,,,,,,,,7,7,0
10096,4,1,105,2,638,1507,5666.02708873751,5666.02708873751,1,2,5,1,1,1,4,1,25,9,2012,14,10,16,45,3,,26,9,2012,15,5,18,30,2,2,,,,,,,,,,1,1,0
10097,4,1,105,2,638,1507,5666.02708873751,5666.02708873751,1,2,14,1,1,1,4,1,27,9,2012,10,15,13,46,3,,28,9,2012,14,5,17,45,2,2,,,,,,,,,,1,1,0
10098,4,1,105,2,638,1507,5666.02708873751,5666.02708873751,1,1,10,2,2,2,2,1,2,9,2012,9,48,12,5,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10099,4,1,105,2,638,1507,5666.02708873751,5666.02708873751,1,2,4,1,1,1,2,1,25,9,2012,12,8,14,51,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10100,4,1,105,2,638,1507,5666.02708873751,5666.02708873751,1,2,17,1,1,1,2,1,26,9,2012,10,44,12,25,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10101,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,1,16,2,2,2,3,1,6,10,2012,13,6,16,9,3,,8,10,2012,9,30,12,45,2,2,,,,,,,,,,1,1,0
10102,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,2,12,1,1,1,3,1,4,10,2012,15,15,18,5,3,,5,10,2012,8,10,10,20,2,2,,,,,,,,,,1,1,0
10103,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,2,23,1,1,1,3,1,6,10,2012,9,0,12,1,3,,8,10,2012,13,0,16,20,2,2,,,,,,,,,,1,1,0
10104,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,1,1,2,2,2,2,1,8,10,2012,10,7,12,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10105,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,2,7,1,1,1,2,1,6,10,2012,13,15,16,56,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10106,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,2,21,1,1,1,2,1,6,10,2012,10,40,13,7,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10107,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,2,3,1,1,1,,1,6,10,2012,10,10,15,10,3,,8,10,2012,11,20,15,20,2,2,,,,,,,,,,1,1,0
10108,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,2,18,1,1,1,4,1,4,10,2012,10,20,13,15,3,,5,10,2012,10,15,12,45,2,2,,,,,,,,,,1,1,0
10109,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,2,32,1,1,1,4,1,4,10,2012,16,15,18,30,3,,5,10,2012,14,30,17,45,2,2,,,,,,,,,,1,1,0
10110,4,1,108,2,904,1205,7479.15575713352,7479.15575713352,1,2,14,1,2,1,4,1,4,10,2012,13,0,16,40,3,,5,10,2012,12,55,14,15,2,2,,,,,,,,,,1,1,0
20001,2,2,209,2,1040,1305,4081.61097020258,4081.61097020258,1,2,4,1,2,1,2,1,26,9,2012,15,49,16,49,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20002,2,2,209,2,1040,1305,4081.61097020258,4081.61097020258,1,2,9,1,1,1,6,1,26,9,2012,11,44,13,30,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20003,2,2,209,2,1040,1305,,,1,1,17,2,2,2,3,1,26,9,2012,9,11,11,9,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20004,2,2,209,2,1040,1305,4081.61097020258,4081.61097020258,1,2,12,1,2,1,5,1,26,9,2012,8,19,10,15,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20005,2,2,209,2,1040,1305,4081.61097020258,4081.61097020258,1,2,1,1,2,1,4,1,26,9,2012,14,37,17,46,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20006,2,2,209,2,1040,1305,4081.61097020258,4081.61097020258,1,3,14,1,2,1,3,1,26,9,2012,11,16,14,58,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20007,2,2,209,2,1040,1305,4081.61097020258,4081.61097020258,1,2,22,1,2,1,5,1,26,9,2012,13,45,15,9,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20008,2,2,209,2,1040,1305,4081.61097020258,4081.61097020258,1,2,6,1,2,1,2,1,26,9,2012,11,44,13,35,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20009,2,2,209,2,1040,1305,4081.61097020258,4081.61097020258,1,2,20,1,1,1,6,1,26,9,2012,14,10,18,20,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20010,2,2,209,2,1040,1305,4081.61097020258,4081.61097020258,1,2,36,1,2,1,4,1,26,9,2012,9,13,14,21,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20011,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,2,7,1,2,1,3,1,24,9,2012,9,52,13,22,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20012,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,3,18,1,1,1,5,1,24,9,2012,8,19,10,32,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20013,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,2,103,1,1,1,2,1,25,9,2012,9,30,16,26,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20014,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,2,60,1,2,1,2,1,24,9,2012,11,19,12,42,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20015,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,2,82,1,2,1,4,1,24,9,2012,15,10,17,0,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20016,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,2,92,1,1,1,5,1,24,9,2012,13,9,15,0,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20017,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,2,28,1,2,1,2,1,24,9,2012,13,49,15,12,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20018,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,2,39,1,2,1,4,1,24,9,2012,11,26,15,10,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20019,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,2,50,1,2,1,4,1,25,9,2012,9,34,13,17,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20020,2,2,221,2,18,1210,9570.303616975,9570.303616975,1,2,71,1,1,1,3,1,24,9,2012,11,12,13,15,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20021,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,2,1,1,2,1,2,1,27,9,2012,11,29,13,20,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20022,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,2,5,1,2,1,3,1,27,9,2012,10,0,12,5,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20023,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,2,13,1,2,1,5,1,27,9,2012,6,8,8,59,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20024,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,2,9,1,2,1,6,1,27,9,2012,10,0,14,17,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20025,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,3,22,1,1,1,4,1,27,9,2012,10,47,14,52,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20026,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,2,15,1,2,1,5,1,27,9,2012,13,5,15,10,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20027,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,2,7,1,2,1,2,1,27,9,2012,14,45,15,45,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20028,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,2,18,1,2,1,3,1,27,9,2012,12,14,14,21,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20029,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,2,3,1,1,1,6,1,27,9,2012,14,50,18,30,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20030,2,2,201,2,60,1501,3093.43147215354,3093.43147215354,1,2,11,1,2,1,4,1,27,9,2012,14,59,18,47,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20031,2,2,216,2,200,1308,2803.42227163914,2803.42227163914,1,2,16,1,1,1,6,1,24,10,2012,13,50,15,52,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20032,2,2,216,2,200,1308,2803.42227163914,2803.42227163914,1,3,32,1,2,1,2,1,24,10,2012,13,30,15,5,15,1,,,,,,,,,,,,,,,,,,,1,1,0
20033,2,2,216,2,200,1308,2803.42227163914,2803.42227163914,1,2,4,1,2,1,4,1,24,10,2012,13,4,17,11,15,1,,,,,,,,,,,,,,,,,,,1,1,0
