"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4d","s11aq5c","s11aq6"
4,1,108,2,904,10103,4,1200,1,,496.8,2304,1
4,1,108,2,904,10103,5,,,,224.3,2305,1
4,1,108,2,904,10105,1,300,3,,184.5,701,1
4,1,108,2,904,10106,1,200,3,,193,2101,1
4,1,108,2,904,10106,2,500,3,,474,2102,1
4,1,108,2,904,10106,3,400,3,,349.1,2103,1
4,1,108,2,904,10106,4,400,3,,496.8,2104,1
4,1,108,2,904,10107,1,2000,1,,928.2,301,1
4,1,108,2,904,10107,2,2500,1,,1249,302,1
4,1,108,2,904,10107,3,2500,1,,1522.7,303,1
4,1,108,2,904,10107,4,,,,695.5,304,1
4,1,108,2,904,10108,1,820,1,,547.9,1801,1
4,1,108,2,904,10108,2,533,1,,474,1802,1
4,1,108,2,904,10109,1,935,1,,195.9,3201,2
4,1,108,2,904,10109,2,,,,284.2,3202,2
4,1,108,2,904,10110,1,600,1,,235.6,1401,1
4,1,108,2,904,10110,2,800,1,,317.9,1402,1
2,2,209,2,1040,20001,1,11,6,,9757,401,1
2,2,209,2,1040,20001,2,11,6,,1623,402,1
2,2,209,2,1040,20001,3,11,6,,8843,403,1
2,2,209,2,1040,20002,1,1,5,,5068.3,901,2
2,2,209,2,1040,20002,2,1,6,,2683.2,902,2
2,2,209,2,1040,20002,3,1,5,,1077.02,903,2
2,2,209,2,1040,20002,4,0.699999988079071,5,,2536.9,904,2
2,2,209,2,1040,20002,5,0.5,6,,1535.6,905,2
2,2,209,2,1040,20003,1,1,1,,1724.1,1701,1
2,2,209,2,1040,20003,2,2,1,,3088.2,1702,1
2,2,209,2,1040,20003,3,62,2,,2522.9,1703,1
2,2,209,2,1040,20004,1,689,5,,3071.05,1201,1
2,2,209,2,1040,20004,2,432,5,,2104.03,1202,3
2,2,209,2,1040,20005,1,2,5,,8030.2,101,2
2,2,209,2,1040,20005,2,1,5,,1690.5,102,2
2,2,209,2,1040,20005,3,0.5,5,,531.6,103,7
2,2,209,2,1040,20005,4,1,5,,2621.3,104,7
2,2,209,2,1040,20005,5,53,2,,2258.5,105,7
2,2,209,2,1040,20006,1,76,2,,5400.2,1401,3
2,2,209,2,1040,20006,2,1,4,,1054.7,1402,3
2,2,209,2,1040,20007,1,681,5,,1339.09,2201,1
2,2,209,2,1040,20008,1,80,2,,981,601,1
2,2,209,2,1040,20008,2,160,2,,2337.3,602,1
2,2,209,2,1040,20009,1,66,2,,3588.9,2001,1
2,2,209,2,1040,20009,2,1,5,,2508.8,2002,5
2,2,209,2,1040,20009,3,3,5,,6423.9,2003,7
2,2,209,2,1040,20010,1,1208,5,,4688.05,3601,1
2,2,201,2,60,20021,1,1,6,,1001.2,101,1
2,2,201,2,60,20021,2,1,4,,635.6,102,2
2,2,201,2,60,20021,3,2,4,,534.7,103,3
2,2,201,2,60,20021,4,8,4,,731.2,104,4
2,2,201,2,60,20022,1,2,6,,532.6,501,1
2,2,201,2,60,20022,2,26,2,,2359,502,1
2,2,201,2,60,20023,1,6,5,,1101.4,1301,1
2,2,201,2,60,20023,2,3,5,,1304.6,1302,1
